id,ICAO CODE,IATA CODE,AIRPORT NAME,CITY,COUNTRY,Latitude,Longitude
216,DAAE,BJA,SOUMMAM,BEJAJA,ALGERIA,36.712,5.07
217,DAAG,ALG,HOUARI BOUMEDIENE,ALGIER,ALGERIA,36.691,3.215
218,DAAJ,DJG,TISKA,DJANET,ALGERIA,24.293,9.452
219,DAAK,N/A,BOUFARIK,BOUFARIK,ALGERIA,36.546,2.876
220,DAAM,N/A,TELERGHMA,TELERGMA,ALGERIA,36.109,6.364
221,DAAN,N/A,REGGANE,REGGAN,ALGERIA,26.71,0.286
222,DAAP,VVZ,ILLIZI,ILLIZI,ALGERIA,26.573,8.484
223,DAAQ,N/A,AIN OUSSERA,AIN OUSSERA,ALGERIA,35.525,2.879
224,DAAS,GSF,SETIF AIN ARNAT,SETIF,ALGERIA,36.178,5.324
225,DAAT,TMR,TAMANRASSET,TAMANRASSET,ALGERIA,22.811,5.451
226,DAAV,GJL,JIJEL,JIJEL,ALGERIA,36.795,5.873
227,DAAY,N/A,MECHERIA,MECHERIA,ALGERIA,33.536,-0.242
228,DAAZ,N/A,RELIZANE,RELIZANE,ALGERIA,35.752,0.626
229,DABB,AAE,ANNABA,ANNABA,ALGERIA,36.822,7.809
230,DABC,CZL,MOHAMED BOUDIAF INTERNATIONAL,CONSTANTINE,ALGERIA,36.277,6.624
231,DABS,TEE,CHEIKH LARBI TEBESSI,TEBESSA,ALGERIA,35.431,8.121
232,DAFH,HRM,HASSI R MEL,TILREMPT,ALGERIA,32.93,3.312
233,DAOB,TID,BOU CHEKIF,TIARET,ALGERIA,35.341,1.463
234,DAOE,N/A,BOU SFER,BOU SFER,ALGERIA,35.735,-0.805
235,DAOF,TIN,TINDOUF,TINDOUF,ALGERIA,27.7,-8.167
236,DAOI,QAS,ECH CHELIFF,ECH-CHELIFF,ALGERIA,36.213,1.332
237,DAOL,TAF,TAFARAOUI,ORAN,ALGERIA,35.542,-0.532
238,DAON,TLM,ZENATA,TLEMCEN,ALGERIA,35.017,-1.45
239,DAOO,ORN,ES SENIA,ORAN,ALGERIA,35.624,-0.621
240,DAOS,N/A,SIDI BEL ABBES,SIDI BEL ABBES,ALGERIA,35.172,-0.593
241,DAOV,MUW,GHRISS,GHRISS,ALGERIA,35.208,0.147
242,DAUA,AZR,TOUAT CHEIKH SIDI MOHAMED BELKEBIR,ADRAR,ALGERIA,27.837,-0.186
243,DAUB,BSK,BISKRA,BISKRA,ALGERIA,34.793,5.738
244,DAUE,ELG,EL GOLEA,EL GOLEA,ALGERIA,30.571,2.859
